SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price_Range
2056,4,1,3,2014,5
1687,2,1,3,2002,3
1459,3,2,3,1980,5
1954,5,2,2,1959,6
2906,4,1,3,1983,7
1469,3,3,3,1986,5
2398,3,1,1,1962,7
2045,2,1,1,1987,6
1749,2,3,2,1994,5
2693,4,1,1,1959,6
1037,2,2,1,1971,2
1229,3,2,3,2010,1
2388,3,3,1,1987,6
1562,5,1,1,2007,4
1437,3,2,1,1975,1
2799,4,1,1,1998,4
2306,5,3,1,2011,7
1026,2,2,1,1958,1
1225,5,3,1,2009,4
2300,3,1,1,1979,4
1797,4,1,2,1970,6
2632,2,1,3,1999,7
1283,2,3,1,1978,4
1878,3,2,3,1989,4
1959,4,3,1,1966,5
2504,3,2,2,2017,6
1452,3,1,1,2013,2
2019,4,1,2,1972,5
2852,3,3,1,1956,6
1815,4,2,1,1983,4
1658,4,1,3,1973,5
2539,3,1,1,1956,4
1546,3,3,1,1957,6
2215,5,3,2,1952,6
2072,2,2,3,1953,5
2535,2,1,1,2012,7
1016,4,2,3,2015,2
2195,5,2,3,2018,6
2243,4,2,1,1959,6
1157,5,3,1,2012,2
1476,4,2,1,1986,5
2069,2,2,1,2021,4
2396,5,2,1,1952,7
1517,3,3,3,1978,4
1098,3,3,2,2011,2
2915,2,1,3,1982,6
2768,5,3,1,2009,7
2060,3,3,3,1991,6
1279,3,2,2,2011,2
2372,3,1,3,1955,6
1496,2,3,1,1998,3
1301,4,1,1,2021,2
1180,3,2,1,1992,3
1606,3,3,2,1958,3
2122,4,2,1,2000,5
1699,3,2,1,1963,4
1992,5,1,1,1973,5
2139,3,3,1,2021,6
1190,4,1,3,1982,4
1252,2,2,1,1978,3
1980,2,3,3,1951,4
1927,5,2,2,2001,4
2184,3,1,3,1994,5
2279,3,1,3,1987,5
2346,4,2,3,1994,6
1127,4,1,3,1965,3
1017,5,1,3,1996,3
2816,5,2,3,1974,8
2758,3,3,2,2006,7
1565,3,3,1,1968,4
1569,5,3,2,1987,1
2346,2,2,3,2015,6
2895,2,2,3,1956,7
1685,2,1,3,1969,3
2815,2,3,2,1953,7
1625,5,1,3,1964,6
2311,4,2,2,2013,7
2966,2,3,3,2006,6
1853,5,2,3,1999,4
2686,2,1,2,1966,4
1961,3,1,2,1965,4
2662,2,2,2,1952,6
1154,5,2,2,1994,1
1489,3,3,3,1993,5
2409,3,2,3,2011,7
1784,2,1,1,1958,6
2127,2,1,3,2009,6
2952,3,2,3,2006,5
2416,4,2,3,2010,8
2834,5,3,3,2013,7
1245,5,1,3,1966,4
2199,5,1,1,2007,7
2062,5,1,2,1996,6
2500,5,2,3,2001,8
2705,3,1,3,1967,6
1758,5,2,2,1986,6
1537,4,3,2,2019,3
2890,4,2,1,1966,7
2841,2,3,1,1952,6
1920,2,3,1,1982,5
1407,2,2,2,1956,5
1524,2,3,3,1951,5
1827,3,2,2,1983,5
2529,4,1,3,1953,5
1902,3,2,2,1998,4
2848,4,3,2,1966,8
1035,3,3,2,2020,3
1684,4,1,2,1961,4
1019,2,2,3,1993,2
1320,4,1,3,1998,4
2799,2,3,3,2018,8
1511,4,2,3,1966,4
1399,3,3,1,1987,5
1653,5,2,1,2005,3
1971,4,1,2,2010,6
2906,3,1,3,1981,8
1470,5,3,3,2005,3
2166,3,1,2,1972,6
2115,5,1,2,2015,6
2377,2,3,2,2016,6
1833,4,3,3,1954,3
2823,3,3,3,1972,5
1726,4,2,3,2000,5
2982,2,3,1,1974,7
1853,2,2,2,1973,5
1050,4,3,3,1979,5
2688,3,2,2,2000,5
2721,3,3,1,1979,8
1574,3,2,2,2021,3
2213,4,1,3,1995,5
2148,3,3,2,2006,5
1149,3,3,3,1978,2
1313,5,2,1,2011,6
1569,3,1,1,1978,4
2365,2,1,3,1986,7
1304,3,2,1,1989,2
2715,4,3,2,2004,6
1681,4,1,1,1975,3
1837,3,3,1,1976,3
2806,4,2,1,2000,7
2077,4,3,1,1971,5
2002,3,1,3,2014,6
1443,5,2,1,1987,6
1612,5,1,3,1950,3
1992,5,3,3,1964,5
1263,5,3,3,1960,4
2076,2,2,2,2005,4
2595,3,1,2,1987,6
2003,4,1,3,2003,4
2643,4,1,2,1972,6
1004,3,2,1,1986,2
2126,4,3,2,2000,6
2219,2,3,1,2010,6
1773,5,3,2,1971,5
1876,3,1,3,2015,5
1991,4,2,3,2004,5
1883,2,1,2,2016,7
2373,4,2,1,1975,7
1046,2,1,1,1987,4
1866,4,2,3,1999,3
1822,5,1,1,1972,5
1935,3,1,3,2002,4
2843,5,2,2,1988,6
1655,5,3,2,1972,5
1268,4,3,2,2015,3
1369,5,2,3,1977,4
1635,3,2,2,2009,5
2129,2,3,1,2016,4
2693,2,1,3,1959,6
2682,4,3,1,1983,6
1656,3,2,2,1950,3
1119,3,1,3,1986,3
1830,2,2,3,2017,6
2810,2,3,3,2020,5
2627,5,1,2,2016,6
2081,4,3,3,2007,5
2974,2,3,3,1965,5
2369,2,3,2,2013,5
1740,3,1,2,1977,5
2497,3,3,1,2019,6
1116,3,1,1,1977,3
2853,2,3,1,1967,7
1790,4,3,3,1992,7
2150,5,2,2,1963,6
2416,4,3,1,1971,5
2931,2,1,1,1963,5
2012,5,2,2,1968,5
2664,4,1,3,1968,6
2081,2,3,2,1988,5
1633,4,2,2,1982,5
1512,2,2,2,1987,5
2774,3,2,3,1981,6
1801,4,1,1,1963,3
2119,3,2,1,1972,6
2661,3,2,3,1975,6
2141,5,1,2,1999,5
1559,5,1,2,2018,4
2624,4,1,1,2004,6
1487,2,3,1,2016,2
2260,5,1,2,1969,5
2908,5,1,3,2005,7
1896,3,2,1,1964,4
2295,3,3,3,2008,4
2212,2,2,3,2006,6
1703,5,1,2,1980,3
2470,5,1,3,2018,6
1580,2,2,2,1963,4
1789,5,3,3,1971,3
1860,4,3,1,1996,4
1246,4,2,2,1991,4
2986,2,1,2,2020,6
2099,3,3,2,2010,3
1153,2,3,2,1954,4
2679,4,2,1,1973,6
2458,5,3,2,1963,6
1996,5,1,2,1997,5
2109,3,2,1,1964,6
1696,3,3,3,1977,6
2308,4,1,1,1982,7
2997,3,1,3,1996,8
2243,2,2,2,2000,5
2092,4,2,2,2005,5
2070,5,1,3,2015,3
2008,5,1,2,2003,6
1093,5,3,1,1950,3
2773,3,3,1,1962,5
1957,4,3,1,2004,6
2011,3,3,3,1993,6
1452,2,3,3,2003,5
2227,4,2,3,2016,5
1911,3,3,2,1998,3
1217,5,3,3,2019,5
1473,5,3,1,1958,3
1431,2,1,3,1992,4
1340,2,3,1,2014,5
1550,2,2,2,2013,3
2635,5,1,3,1988,6
2312,3,1,1,1986,5
2277,5,3,1,1975,6
2757,5,1,3,1983,6
1356,5,3,2,1985,3
1022,3,3,3,1995,3
2785,5,3,2,2013,7
1521,2,2,1,1975,5
2781,2,1,3,1959,7
2860,2,1,3,1980,7
2123,2,1,1,2007,3
1801,5,1,2,1977,6
2203,5,1,3,1984,6
2246,5,3,3,2006,7
2929,2,3,3,1969,7
1761,3,3,2,1985,5
2682,4,2,1,2012,5
1441,4,2,1,2019,7
2631,4,2,1,1993,7
1768,3,2,2,1962,5
2015,5,1,2,1982,6
2348,4,2,1,1999,5
1515,4,1,3,1994,3
2039,5,1,2,2004,5
1791,4,1,1,1999,4
1335,5,3,1,2001,6
2782,4,3,3,1996,7
1257,5,1,3,1992,5
1496,2,2,2,1959,5
1895,3,1,2,1997,4
1159,4,3,1,2017,4
2498,5,2,2,2004,7
1851,2,3,3,1991,5
2687,5,2,2,1980,6
2931,4,3,2,1979,7
1689,4,1,2,2019,5
2698,4,3,2,1956,7
1379,4,2,3,1981,3
2568,4,3,2,1991,6
2952,2,2,3,1975,8
1956,5,3,2,1961,4
1690,5,3,1,1963,4
2450,4,1,2,1990,6
2636,5,2,3,1992,7
2291,2,2,3,1979,6
2858,4,1,1,1958,7
2600,3,3,1,1969,6
2440,2,2,3,2017,6
2191,4,2,3,1974,6
2865,5,2,2,1952,8
2066,2,1,3,1986,6
2579,4,1,3,1977,6
1284,5,2,1,2009,5
1396,5,3,3,2009,6
1011,4,3,1,1969,4
2630,2,1,2,2018,6
2325,4,3,1,1957,4
2921,4,1,2,2021,6
2276,4,2,1,1981,6
1498,4,2,1,1973,6
1753,4,2,2,1974,4
1034,5,1,3,1969,5
1726,4,3,1,2002,5
1848,2,2,3,1970,4
1089,3,3,3,1978,2
1775,4,3,3,2011,4
1604,2,1,2,2021,3
2945,3,1,1,1983,6
1969,2,3,1,1996,4
2625,5,3,3,1991,6
2021,5,2,1,1958,4
1417,3,2,3,1985,4
1114,3,2,2,1956,3
1616,3,3,2,2016,3
2926,5,1,1,1983,6
2219,5,3,3,2005,5
1825,2,2,2,1986,5
2524,5,2,1,2019,7
2649,3,1,3,2004,6
2516,4,3,3,1985,6
2098,4,2,1,1959,4
1412,3,1,3,1990,3
2399,5,2,1,2000,5
2443,3,1,1,1954,6
1728,5,3,2,1986,3
2300,4,1,2,2006,6
2020,2,3,1,1978,4
1760,5,3,3,2005,7
1675,2,2,2,1980,5
2417,4,3,3,2001,6
2892,2,2,1,1962,6
1456,2,2,1,1978,5
1919,3,3,3,2007,5
1191,2,1,2,1977,3
1738,4,3,2,1980,5
2712,5,3,2,1996,7
2122,2,1,2,2014,4
2571,5,2,3,2009,5
1977,3,2,2,1979,6
2008,4,3,3,2017,5
1095,4,1,2,2021,4
2687,5,1,2,2003,5
1662,4,1,3,2013,5
2213,3,1,3,1961,3
2759,5,3,3,1961,5
1036,4,3,1,2005,2
2803,3,2,3,1968,7
2392,3,1,1,1985,6
2718,2,3,3,1963,5
2548,4,3,3,1953,4
1278,5,1,3,1954,5
1216,2,1,1,1991,4
1866,5,2,1,2009,5
1872,2,1,1,1986,5
2821,3,2,3,1980,5
2296,2,2,3,2006,5
2904,2,1,1,2001,6
1061,2,1,1,1992,2
1595,4,3,3,2004,3
2903,2,1,2,1958,7
1728,3,1,1,2001,5
2365,5,2,3,2002,6
1396,4,1,2,1982,4
1698,3,3,2,1951,6
2042,4,3,1,1972,6
1176,5,1,3,1965,4
2635,5,1,3,1997,5
1395,5,2,1,1953,3
1444,4,1,1,1974,2
2256,4,2,3,2017,5
2938,5,1,2,2016,5
1075,5,2,1,1988,4
1264,3,3,3,1971,4
1454,5,1,2,2009,3
2819,2,1,2,1985,7
1717,4,2,2,1998,5
1734,3,2,2,1982,5
2407,4,1,2,1968,5
2587,5,2,3,2020,6
1850,2,1,3,1955,5
2529,5,3,2,1977,5
2390,4,2,3,2014,5
1143,3,1,3,1963,3
1884,4,3,3,1961,5
2092,3,1,1,2008,5
2122,2,1,2,2020,5
1395,5,3,2,1957,3
2048,5,2,3,1959,5
1947,2,3,3,2019,3
1890,4,1,3,1997,5
2492,2,3,1,2003,7
2507,5,1,1,1999,7
2588,3,3,2,1996,7
2174,5,2,2,1978,5
2167,4,3,1,1958,6
1568,3,3,1,2015,3
2062,4,2,1,2018,5
1108,5,1,2,2003,2
2716,5,3,2,1965,5
2065,3,1,2,1957,3
2209,4,3,3,1971,6
1934,3,2,2,1964,6
1397,3,3,3,1977,4
2246,4,1,2,1978,4
1633,3,1,2,1981,3
2156,2,2,2,1965,4
2186,3,1,3,1982,7
2238,5,2,1,1985,5
1732,4,2,3,1988,4
1234,5,1,2,1999,4
2866,2,1,1,2017,6
1657,2,2,3,1963,4
1750,3,1,1,1988,5
1587,5,2,3,2020,5
2032,3,3,1,1969,6
2097,3,1,2,1999,5
1953,5,1,3,1988,4
1491,2,2,3,1957,4
1912,2,3,3,1979,5
2276,2,3,1,1969,5
2253,4,1,2,1977,4
2542,4,2,2,2019,6
2197,3,2,2,2003,6
2676,4,1,3,1969,6
2191,4,3,3,1972,7
1169,5,2,1,1988,3
2416,3,2,3,1983,5
1945,3,1,2,1971,5
1794,5,1,3,2006,6
1633,2,3,2,1996,5
2217,5,3,2,1967,4
2540,2,2,1,1957,6
1028,3,1,2,2010,3
2188,3,1,2,1979,3
2445,4,1,1,1998,8
1338,4,3,2,2021,2
2671,5,3,1,2012,5
2519,4,2,3,1998,5
2388,3,1,3,1992,6
2856,3,3,3,1966,5
2365,2,1,2,2021,5
1499,4,3,3,1992,1
2680,2,1,3,2004,5
1510,3,2,3,2011,4
2350,4,3,1,1971,7
1216,2,3,2,1966,2
2324,3,2,2,2017,4
2155,2,2,1,1969,5
2827,4,1,2,1978,8
2093,2,3,2,1995,6
2275,2,1,3,1963,5
2438,3,1,3,1980,5
2810,4,1,2,1980,6
1444,5,3,1,1952,3
1875,5,2,1,1971,6
2205,2,1,3,2002,5
1166,3,3,3,2003,5
1090,4,1,2,1976,2
1713,3,2,1,1981,3
2881,4,2,1,1980,8
2554,3,3,3,1988,6
1038,5,3,1,2011,3
2149,5,2,1,2006,7
2474,5,3,3,2016,6
1172,3,2,1,2011,4
1652,3,1,3,1982,5
1753,2,2,1,2009,5
2243,5,1,3,1979,7
2661,2,3,2,1962,5
2081,3,1,1,1969,6
2683,4,2,1,2021,8
1475,5,3,2,1957,3
1455,5,3,1,1970,3
1828,5,2,3,1962,7
1894,5,3,1,1979,5
2384,5,2,2,1998,6
2958,3,1,3,2007,5
2024,5,1,3,1995,6
1386,5,3,1,1951,4
2996,2,2,2,1968,7
1347,4,2,1,1976,4
1189,5,1,1,1956,4
1504,2,1,1,1999,5
2214,3,3,2,2002,6
2531,2,2,3,1990,5
2392,5,3,2,1961,4
2432,2,3,2,1966,5
1823,2,3,3,2021,5
1928,3,2,1,2005,5
1933,2,1,1,1970,5
2140,3,2,2,1963,5
1133,3,2,2,1971,1
1057,2,2,3,1958,3
2579,5,3,2,1955,6
1684,4,3,1,1978,4
1671,2,2,3,1993,4
1172,2,3,1,1965,1
2852,2,3,1,1993,5
1814,4,1,3,1978,5
2172,4,2,3,1970,5
1079,3,2,1,2015,4
1885,4,3,3,2021,5
2236,4,2,3,1985,7
1202,2,2,2,1952,5
1763,3,2,2,2006,5
2252,5,2,1,1998,7
2699,3,3,1,1990,5
2250,4,1,3,1999,6
2682,4,3,3,1963,5
2555,2,1,2,1972,8
2464,5,2,3,2015,6
2425,5,2,1,1989,6
1046,5,2,2,1970,2
2256,4,2,1,1992,2
2328,4,2,1,1995,6
2549,3,2,1,1997,5
2166,4,2,1,2018,7
2438,5,1,1,1979,6
2536,5,3,2,1989,7
2396,5,2,1,1991,7
2589,2,2,1,1973,8
2909,3,2,1,2008,8
2282,3,1,1,2014,6
1655,4,2,3,2003,4
1470,2,3,2,2008,2
2976,3,1,2,2009,6
1970,2,1,3,1987,4
2035,2,2,1,1951,5
2353,4,1,2,2014,8
1735,2,2,1,1957,4
1783,3,3,3,1960,4
1967,4,3,2,1991,5
1357,3,1,2,2004,2
1971,2,1,1,1990,5
2431,2,2,3,1952,5
1667,5,1,2,1960,5
1372,4,3,1,2009,3
2031,4,1,1,1959,5
2145,5,3,1,1961,6
2371,3,2,1,2017,6
1675,3,3,3,1950,5
1089,2,1,2,1989,4
2671,4,3,1,1988,7
1697,2,3,3,1965,3
2339,5,1,2,1974,5
2201,2,2,2,1977,6
1539,3,3,1,1992,5
1731,3,1,2,1956,5
1868,5,3,1,1978,6
1040,3,3,3,2012,4
1739,5,3,2,1960,5
2727,4,2,1,1950,7
2946,5,3,3,1977,7
1501,5,1,1,1995,4
1958,5,1,2,1952,6
2168,3,3,3,1963,5
2224,4,2,2,1988,6
1928,2,1,2,1974,5
2747,4,2,1,1984,8
1460,3,2,1,1979,3
1731,4,1,3,1989,3
1751,4,1,1,1960,4
1924,5,2,3,2015,4
1908,5,3,2,1988,5
2581,3,2,2,1977,5
2570,5,1,2,2013,7
2276,3,2,2,1952,6
